,Date,Vial number,Day (letter of vial),# females,# males,wildtype,yellow/vermillion,yellow only,vermillion only,Notes
KAP,1/19/18,42,B,0,0,0,0,0,0,
KAP,1/19/18,43,B,0,0,0,0,0,0,mixed with 3rd generation
KAP,1/19/18,44,B,27,28,8,7,6,7,
NMC,1/19/18,45,B,0,1,0,0,1,0,2 dead
NMC,1/19/18,46,B,12,9,2,5,0,2,
NMC,1/19/18,47,B,0,0,0,0,0,0,mixed with 3rd generation
NMC,1/19/18,48,B,10,13,8,1,0,4,
NMC,1/23/18,49,B,18,25,5,7,6,7,2 dead
NMC,1/23/18,50,B,6,3,1,0,1,1,
KAP,1/19/18,51,B,0,0,0,0,0,0,fallen KimWipe
NMC,1/23/18,52,B,35,38,12,11,3,12,6 dead
KLM,1/24/18,53,B,0,0,0,0,0,0,mixed with 3rd generation
KLM,1/24/18,54,B,34,26,4,5,9,8,
KLM,1/24/18,55,B,26,15,2,6,3,4,
NMC,1/19/18,56,B,0,0,0,0,0,0,
NMC,1/23/18,57,B,8,8,2,4,1,1,8 dead
KLM,1/24/18,58,B,48,43,4,12,12,15,
KLM,1/24/18,59,B,0,0,0,0,0,0,All dead
KLM,1/24/18,60,B,0,0,0,0,0,0,All dead
KLM,1/24/18,61,B,26,15,2,3,7,3,
KLM,1/24/18,1,C,26,20,4,7,1,8,
KLM,1/24/18,2,C,9,4,2,0,0,2,
KLM,1/24/18,3,C,4,1,0,0,0,1,
KLM,1/24/18,4,C,0,0,0,0,0,0,All dead
KLM,1/24/18,5,C,54,40,9,7,11,13,
KLM,1/24/18,6,C,0,0,0,0,0,0,All dead
KLM,1/24/18,7,C,38,36,7,13,6,10,
KLM,1/24/18,8,C,24,14,3,5,1,5,
KLM,1/24/18,9,C,12,6,1,2,1,2,
KLM,1/24/18,10,C,0,2,0,1,0,1,
KLM,1/24/18,11,C,7,6,2,2,0,2,
KAP,1/24/18,12,C,-,-,-,-,-,-,no 12C vial
KLM,1/24/18,13,C,2,8,0,2,4,2,
KLM,1/24/18,14,C,1,5,3,1,1,0,
KLM,1/24/18,15,C,3,1,1,0,0,0,
KAP,1/24/18,16,C,-,-,-,-,-,-,none in 16C
KLM,1/24/18,17,C,6,5,2,1,0,2,
KLM,1/24/18,18,C,18,19,5,7,2,5,
KLM,1/24/18,19,C,28,7,1,2,1,3,
KLM,1/24/18,20,C,1,3,1,1,0,1,
KAP,1/24/18,21,C,7,4,2,1,1,0,
KAP,1/24/18,22,C,11,5,1,1,0,3,
KAP,1/24/18,23,C,-,-,-,-,-,-,no 23C vial
KAP,1/24/18,24,C,35,20,8,2,4,6,
KAP,1/24/18,25,C,9,14,4,2,1,7,
KAP,1/24/18,26,C,0,1,1,0,0,0,
KAP,1/24/18,27,C,1,0,0,0,0,0,
KAP,1/24/18,28,C,-,-,-,-,-,-,no 28C vial
KAP,1/24/18,29,C,1,0,0,0,0,0,
KAP,1/24/18,30,C,2,2,1,0,1,0,
KAP,1/24/18,31,C,15,10,2,6,2,0,
KAP,1/24/18,32,C,7,0,0,0,0,0,
KAP,1/24/18,33,C,3,6,2,1,2,1,
KAP,1/24/18,34,C,-,-,-,-,-,-,none in 34C
KAP,1/24/18,35,C,1,0,0,0,0,0,
-,-,36,C,-,-,-,-,-,-,no info on 36C
NMC,1/27/18,37,C,3,2,0,0,0,2,2 dead
KAP,1/27/18,38,C,-,-,-,-,-,-,none in 38C
KAP,1/27/18,39,C,-,-,-,-,-,-,none in 39C
KAP,1/27/18,40,C,-,-,-,-,-,-,none in 40C
NMC,1/27/18,41,C,1,0,0,0,0,0,
NMC,1/27/18,42,C,3,0,0,0,0,0,"mold, 10 dead flies covered in mold"
NMC,1/27/18,43,C,12,7,3,0,3,1,
