Date,ViaNumber,Day,numbMales,ct,sd,y,se,Initials,Notes
9.Ara,14,A,1,0,1,0,0,HNT,
9.Ara,14,A,1,0,0,0,0,HNT,WT
9.Ara,14,A,1,0,0,0,0,HNT,WT
9.Ara,14,A,1,0,0,0,0,HNT,WT
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,0,1,HNT,
9.Ara,14,A,1,0,0,1,0,HNT,
9.Ara,14,A,1,0,1,1,1,HNT,
9.Ara,14,A,1,0,1,1,0,HNT,
9.Ara,14,A,1,1,0,1,1,HNT,
9.Ara,14,A,1,1,0,1,0,HNT,
9.Ara,14,A,1,1,1,1,0,HNT,
9.Ara,14,A,1,1,1,1,0,HNT,
9.Ara,14,A,1,1,1,1,1,HNT,
9.Ara,14,A,1,1,1,1,1,HNT,
9.Ara,13,A,1,0,0,0,1,HNT,
9.Ara,13,A,1,0,0,0,1,HNT,
9.Ara,13,A,1,1,1,0,1,HNT,
9.Ara,13,A,1,1,1,1,1,HNT,
9.Ara,13,A,1,0,0,1,1,HNT,
9.Ara,13,A,1,0,0,1,0,HNT,
9.Ara,13,A,1,0,0,1,0,HNT,
9.Ara,13,A,1,0,0,1,0,HNT,
9.Ara,13,A,1,0,0,1,0,HNT,
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,0,0,1,0,AKT,
9.Kas,53,A,1,0,0,0,1,AKT,
9.Kas,53,A,1,1,1,1,0,AKT,
9.Kas,53,A,1,1,1,1,0,AKT,
9.Kas,53,A,1,0,0,1,1,AKT,
9.Kas,53,A,1,0,1,0,0,AKT,
9.Kas,53,A,1,0,1,0,0,AKT,
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,1,1,1,1,AKT,
9.Kas,53,A,1,1,1,1,1,AKT,
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,1,1,0,1,AKT,
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,0,1,0,0,AKT,
9.Kas,53,A,1,0,0,0,0,AKT,WT
9.Kas,53,A,1,0,1,0,1,AKT,
9.Kas,53,A,1,0,1,0,1,AKT,
9.Kas,53,A,1,0,0,0,1,AKT,
9.Kas,53,A,1,0,0,0,1,AKT,
9.Kas,69,A,1,0,0,0,1,AKT,
9.Kas,69,A,1,1,1,0,1,AKT,
9.Kas,57,A,1,0,0,1,0,AKT,
9.Kas,57,A,1,0,0,1,1,AKT,
9.Kas,57,A,1,0,1,0,1,AKT,
9.Kas,57,A,1,1,1,1,1,AKT,
9.Kas,57,A,1,0,0,1,1,AKT,
9.Kas,57,A,1,0,0,1,1,AKT,
9.Kas,57,A,1,0,0,1,1,AKT,
9.Kas,57,A,1,1,1,0,0,AKT,
9.Kas,57,A,1,1,1,1,1,AKT,
9.Kas,57,A,1,1,1,1,0,AKT,
9.Kas,57,A,1,0,0,0,1,AKT,
9.Kas,57,A,1,1,1,0,0,AKT,
9.Kas,57,A,1,1,1,1,0,AKT,
9.Kas,57,A,1,1,1,1,0,AKT,
