Date,Vial #,Day (letter of vial),# females,# males,Sum of phenotypes,Wildtype,Vellow/vermillion,Yellow only,Vermillion only,Phenotyped by:
15-Jul,59,C,7,1,1,0,1,0,0,KLM
15-Jul,62,C,2,3,3,0,0,2,1,KLM
15-Jul,65,C,1,1,1,0,0,1,0,KLM
15-Jul,67,C,1,1,1,0,0,1,0,KLM
15-Jul,68,C,2,1,1,0,1,0,0,KLM
15-Jul,75,C,2,2,2,1,0,1,0,KLM
15-Jul,1,D,2,0,0,0,0,0,0,KLM
15-Jul,3,D,6,3,3,0,0,3,0,KLM
15-Jul,7,D,4,1,1,0,1,0,0,KLM
15-Jul,11,D,9,7,7,2,0,1,4,KLM
15-Jul,15,D,0,2,2,1,0,1,0,KLM
15-Jul,20,D,1,0,0,0,0,0,0,KLM
15-Jul,31,D,5,0,0,0,0,0,0,KLM
15-Jul,40,D,3,1,1,0,0,0,1,KLM
15-Jul,42,D,4,1,1,0,0,0,1,KLM
15-Jul,47,D,3,0,0,0,0,0,0,KLM
15-Jul,48,D,1,0,0,0,0,0,0,KLM
15-Jul,49,D,1,0,0,0,0,0,0,KLM
15-Jul,64,D,1,0,0,0,0,0,0,KLM
15-Jul,1,F,4,3,3,1,1,1,0,KLM
15-Jul,3,F,11,14,14,4,4,0,6,KLM
15-Jul,7,F,1,4,4,1,2,1,0,KLM
15-Jul,9,F,1,0,0,0,0,0,0,KLM
15-Jul,13,F,5,1,1,0,1,0,0,KLM
15-Jul,22,F,1,3,3,1,0,2,0,KLM
15-Jul,24,F,2,1,1,0,0,1,0,KLM
15-Jul,61,B,4,3,3,0,1,0,2,KLM
15-Jul,64,B,1,1,1,0,0,1,0,KLM
15-Jul,66,B,4,1,1,0,1,0,0,KLM
15-Jul,67,B,11,7,7,3,3,0,1,KLM
15-Jul,68,B,5,2,2,0,2,0,0,KLM
15-Jul,69,B,8,1,1,0,0,0,1,KLM
15-Jul,7,G,8,1,1,0,1,0,0,KLM
15-Jul,24,G,1,0,0,0,0,0,0,KLM
15-Jul,13,G,0,1,1,1,0,0,0,KLM
15-Jul,12,G,3,0,0,0,0,0,0,KLM
17-Jul,6,B,0,1,1,0,0,0,1,KLM
17-Jul,12,B,0,4,4,0,1,3,0,KLM
17-Jul,13,B,3,0,0,0,0,0,0,KLM
17-Jul,14,B,0,2,2,1,0,1,0,KLM
17-Jul,17,B,0,1,1,0,1,0,0,KLM
17-Jul,18,B,1,0,0,0,0,0,0,KLM
17-Jul,19,B,3,1,1,1,0,0,0,KLM
17-Jul,26,B,1,0,0,0,0,0,0,KLM
17-Jul,28,B,4,4,4,2,1,0,1,KLM
17-Jul,29,B,6,11,11,1,7,3,0,KLM
17-Jul,31,B,4,8,8,4,1,0,3,KLM
17-Jul,32,B,11,4,4,1,2,1,0,KLM
17-Jul,33,B,4,4,4,0,3,0,1,KLM
17-Jul,34,B,1,2,2,0,1,0,1,KLM
17-Jul,35,B,7,8,8,4,2,0,2,KLM
17-Jul,37,B,9,9,9,1,3,2,3,KLM
17-Jul,39,B,2,1,1,0,1,0,0,KLM
17-Jul,44,B,9,6,6,0,1,2,3,KLM
17-Jul,47,B,1,1,1,0,1,0,0,KLM
17-Jul,48,B,2,4,4,0,0,0,4,KLM
17-Jul,53,B,4,1,1,0,1,0,0,KLM
17-Jul,55,B,1,2,2,0,0,1,1,KLM
17-Jul,62,B,6,4,4,1,0,1,2,KLM
17-Jul,66,B,4,4,4,0,3,0,1,KLM
17-Jul,69,B,4,6,6,0,3,1,2,KLM
17-Jul,60,B,9,8,8,0,3,2,3,KLM
17-Jul,70,B,2,4,4,1,0,3,0,KLM
17-Jul,73,B,4,0,0,0,0,0,0,KLM
17-Jul,75,B,4,8,8,3,4,0,1,KLM
17-Jul,71,B,6,3,3,0,2,0,1,KLM
17-Jul,78,B,4,1,1,0,0,0,1,KLM
17-Jul,79,B,9,0,0,0,0,0,0,KLM
17-Jul,80,B,3,0,0,0,0,0,0,KLM
17-Jul,76,A,14,13,13,2,3,3,5,KLM
17-Jul,77,A,23,10,10,4,2,2,2,KLM
17-Jul,78,A,3,5,5,0,2,2,1,KLM
17-Jul,79,A,21,14,14,2,5,2,5,KLM
17-Jul,80,A,4,9,9,4,3,1,1,KLM
17-Jul,29,C,2,2,2,1,1,0,0,KLM
17-Jul,30,C,4,5,5,0,4,1,0,KLM
17-Jul,59,C,0,6,6,0,3,0,3,KLM
17-Jul,61,C,7,3,3,0,1,0,2,KLM
17-Jul,63,C,4,0,0,0,0,0,0,KLM
17-Jul,65,C,8,7,7,3,1,1,2,KLM
17-Jul,66,C,4,5,5,2,2,0,1,KLM
17-Jul,67,C,7,6,6,0,2,2,2,KLM
17-Jul,73,C,5,2,2,1,0,0,1,KLM
17-Jul,75,C,7,5,5,1,4,0,0,KLM
17-Jul,12,D,4,3,3,2,0,0,1,KLM
17-Jul,16,D,0,3,3,1,1,1,0,KLM
17-Jul,40,D,3,7,7,1,2,2,2,KLM
17-Jul,46,D,3,3,3,1,1,0,1,KLM
17-Jul,47,D,1,6,6,1,1,1,3,KLM
17-Jul,48,D,2,3,3,0,3,0,0,KLM
17-Jul,50,D,2,4,4,0,1,1,2,KLM
17-Jul,55,D,9,0,0,0,0,0,0,KLM
17-Jul,56,D,9,7,7,2,2,1,2,KLM
17-Jul,57,D,1,1,1,1,0,0,0,KLM
17-Jul,59,D,3,4,4,0,1,1,2,KLM
17-Jul,61,D,6,1,1,0,0,1,0,KLM
17-Jul,62,D,5,4,4,1,0,1,2,KLM
17-Jul,64,D,3,0,0,0,0,0,0,KLM
17-Jul,66,D,1,0,0,0,0,0,0,KLM
17-Jul,67,D,1,0,0,0,0,0,0,KLM
17-Jul,68,D,2,6,6,1,4,0,1,KLM
17-Jul,69,D,2,2,2,0,0,2,0,KLM
17-Jul,73,D,2,2,2,1,0,0,1,KLM
17-Jul,6,E,10,3,3,0,1,1,1,KLM
17-Jul,14,E,3,4,4,2,0,1,1,KLM
17-Jul,22,E,1,1,1,1,0,0,0,KLM
17-Jul,26,E,3,0,0,0,0,0,0,KLM
17-Jul,27,E,5,6,6,1,2,0,3,KLM
17-Jul,28,E,7,7,7,1,0,2,4,KLM
