"","F1.Vial","Day","Treatment","Numbfemales.sum","male.sum","num_co.sum","SCO_1.sum","SCO_2.sum","DCO.sum","total_offspring","Num_moms","fecundity"
"1",10,"V","21",152,181,146,32,66,24,333,12,27.75
"2",10,"W","21",86,70,49,14,21,7,156,12,13
"3",10,"X","21",229,123,88,12,44,16,352,12,29.3333333333333
"4",10,"Y","21",210,149,128,34,48,23,359,12,29.9166666666667
"5",10,"Z","21",100,86,61,11,28,11,186,12,15.5
"6",11,"V","21",218,178,123,37,62,12,396,12,33
"7",11,"W","21",98,109,84,16,32,18,207,12,17.25
"8",11,"X","21",89,126,103,34,37,16,215,12,17.9166666666667
"9",11,"Y","21",106,109,88,15,41,16,215,12,17.9166666666667
"10",11,"Z","21",174,130,103,23,40,20,304,12,25.3333333333333
"11",15,"V","21",207,197,143,29,58,28,404,12,33.6666666666667
"12",15,"W","21",101,128,115,20,47,24,229,12,19.0833333333333
"13",15,"X","21",103,166,148,39,47,31,269,12,22.4166666666667
"14",15,"Y","21",160,115,98,23,41,17,275,12,22.9166666666667
"15",15,"Z","21",159,153,108,32,50,13,312,12,26
"16",25,"V","26",185,139,87,14,41,16,324,13,24.9230769230769
"17",25,"W","26",69,67,55,14,27,7,136,13,10.4615384615385
"18",25,"X","26",110,127,111,26,41,22,237,13,18.2307692307692
"19",25,"Y","26",101,75,73,14,31,14,176,13,13.5384615384615
"20",25,"Z","26",123,105,78,17,33,14,228,13,17.5384615384615
"21",29,"V","26",133,82,61,17,22,11,215,12,17.9166666666667
"22",29,"W","26",46,54,45,11,16,9,100,12,8.33333333333333
"23",29,"X","26",105,125,119,25,26,34,230,12,19.1666666666667
"24",29,"Y","26",60,57,53,16,21,8,117,12,9.75
"25",29,"Z","26",212,171,132,43,43,23,383,12,31.9166666666667
"26",30,"V","26",92,54,37,7,18,6,146,12,12.1666666666667
"27",30,"W","26",52,45,42,4,14,12,97,12,8.08333333333333
"28",30,"X","26",70,53,32,9,13,5,123,12,10.25
"29",30,"Y","26",50,37,30,14,10,3,87,12,7.25
"30",30,"Z","26",50,51,43,13,14,8,101,12,8.41666666666667
"31",31,"V","26",85,93,80,19,31,15,178,5,35.6
"32",31,"W","26",19,33,21,8,11,1,52,5,10.4
"33",31,"X","26",39,39,32,8,14,5,78,5,15.6
"34",31,"Y","26",51,33,33,9,10,7,84,5,16.8
"35",31,"Z","26",43,40,26,4,12,5,83,5,16.6
"36",32,"V","26",152,104,73,12,33,14,256,12,21.3333333333333
"37",32,"W","26",45,84,56,14,26,8,129,12,10.75
"38",32,"X","26",101,83,62,19,21,11,184,12,15.3333333333333
"39",32,"Y","26",94,81,70,16,24,15,175,12,14.5833333333333
"40",32,"Z","26",161,152,107,17,46,22,313,12,26.0833333333333
"41",37,"V","26",20,15,9,0,5,2,35,5,7
"42",37,"W","26",12,13,10,2,2,3,25,5,5
"43",37,"X","26",47,15,12,3,3,3,62,5,12.4
"44",37,"Y","26",28,13,12,3,7,1,41,5,8.2
"45",37,"Z","26",39,44,29,4,13,6,83,5,16.6
"46",6,"V","21",102,109,78,18,36,12,211,12,17.5833333333333
"47",6,"W","21",61,53,47,11,16,10,114,12,9.5
"48",6,"X","21",173,118,84,17,33,17,291,12,24.25
"49",6,"Y","21",100,109,82,25,41,8,209,12,17.4166666666667
"50",6,"Z","21",77,67,56,15,23,9,144,12,12
"51",8,"V","21",173,122,98,36,34,14,295,12,24.5833333333333
"52",8,"W","21",31,41,30,10,18,1,72,12,6
"53",8,"X","21",75,79,76,17,21,19,154,12,12.8333333333333
"54",8,"Y","21",107,72,63,6,25,16,179,12,14.9166666666667
"55",8,"Z","21",71,49,34,6,16,6,120,12,10
"56",9,"V","21",196,179,128,24,66,19,375,10,37.5
"57",9,"W","21",20,40,28,0,20,4,60,10,6
"58",9,"X","21",168,137,95,18,37,20,305,10,30.5
"59",9,"Y","21",102,76,53,14,21,9,178,10,17.8
"60",9,"Z","21",204,154,127,30,59,19,358,10,35.8
