Date,Vial #,Day (letter of vial),wildtype,yellow/vermillion,yellow only,vermillion only,wildtype,yellow/vermillion,yellow only,vermillion only,Initials
4-May,131,D,-,-,-,-,-,-,-,-,MCS
4-May,133,D,-,-,-,-,-,-,-,-,MCS
4-May,134,D,-,-,-,-,-,-,-,-,MCS
4-May,135,D,-,-,-,-,-,-,-,-,MCS
4-May,137,D,-,-,-,-,-,-,-,-,MCS
4-May,138,D,-,-,-,-,-,-,-,-,MCS
4-May,141,D,-,-,-,-,-,-,-,-,MCS
4-May,142,D,-,-,-,-,-,-,-,-,MCS
4-May,143,D,-,-,-,-,-,-,-,-,MCS
4-May,144,D,-,-,-,-,-,-,-,-,MCS
4-May,149,D,-,-,-,-,-,-,-,-,MCS
4-May,150,D,-,-,-,-,-,-,-,-,MCS
4-May,151,D,-,-,-,-,-,-,-,-,MCS
4-May,153,D,-,-,-,-,-,-,-,-,MCS
4-May,154,D,-,-,-,-,-,-,-,-,MCS
4-May,155,D,-,-,-,-,-,-,-,-,MCS
4-May,156,D,-,-,-,-,-,-,-,-,MCS
4-May,158,D,-,-,-,-,-,-,-,-,MCS
4-May,161,D,-,-,-,-,-,-,-,-,MCS
4-May,163,D,-,-,-,-,-,-,-,-,MCS
4-May,63,E,-,-,-,-,-,-,-,-,MCS
4-May,65,E,-,-,-,-,-,-,-,-,MCS
4-May,67,E,-,-,-,-,-,-,-,-,MCS
4-May,68,E,-,-,-,-,-,-,-,-,MCS
4-May,69,E,-,-,-,-,-,-,-,-,MCS
4-May,71,E,-,-,-,-,-,-,-,-,MCS
4-May,74,E,-,-,-,-,-,-,-,-,MCS
4-May,76,E,-,-,-,-,-,-,-,-,MCS
4-May,77,E,-,-,-,-,-,-,-,-,MCS
4-May,79,E,-,-,-,-,-,-,-,-,MCS
4-May,82,E,-,-,-,-,-,-,-,-,MCS
4-May,85,E,-,-,-,-,-,-,-,-,MCS
4-May,86,E,-,-,-,-,-,-,-,-,MCS
4-May,87,E,-,-,-,-,-,-,-,-,MCS
4-May,88,E,-,-,-,-,-,-,-,-,MCS
4-May,90,E,-,-,-,-,-,-,-,-,MCS
4-May,91,E,-,-,-,-,-,-,-,-,MCS
4-May,92,E,-,-,-,-,-,-,-,-,MCS
4-May,93,E,-,-,-,-,-,-,-,-,MCS
4-May,94,E,-,-,-,-,-,-,-,-,MCS
4-May,95,E,-,-,-,-,-,-,-,-,MCS
4-May,96,E,-,-,-,-,-,-,-,-,MCS
4-May,100,E,-,-,-,-,-,-,-,-,MCS
4-May,101,E,-,-,-,-,-,-,-,-,MCS
4-May,102,E,-,-,-,-,-,-,-,-,MCS
4-May,103,E,-,-,-,-,-,-,-,-,MCS
4-May,104,E,-,-,-,-,-,-,-,-,MCS
4-May,105,E,-,-,-,-,-,-,-,-,MCS
4-May,106,E,-,-,-,-,-,-,-,-,MCS
4-May,107,E,-,-,-,-,-,-,-,-,MCS
4-May,108,E,-,-,-,-,-,-,-,-,MCS
4-May,109,E,-,-,-,-,-,-,-,-,MCS
4-May,110,E,-,-,-,-,-,-,-,-,MCS
4-May,111,E,-,-,-,-,-,-,-,-,MCS
4-May,112,E,-,-,-,-,-,-,-,-,MCS
4-May,113,E,-,-,-,-,-,-,-,-,MCS
4-May,114,E,-,-,-,-,-,-,-,-,MCS
4-May,116,E,-,-,-,-,-,-,-,-,MCS
4-May,117,E,-,-,-,-,-,-,-,-,MCS
4-May,119,E,-,-,-,-,-,-,-,-,MCS
4-May,122,E,-,-,-,-,-,-,-,-,MCS
4-May,123,E,-,-,-,-,-,-,-,-,MCS
4-May,124,E,-,-,-,-,-,-,-,-,MCS
4-May,126,E,-,-,-,-,-,-,-,-,MCS
4-May,127,E,-,-,-,-,-,-,-,-,MCS
4-May,128,E,-,-,-,-,-,-,-,-,MCS
4-May,130,E,-,-,-,-,-,-,-,-,MCS
4-May,131,E,-,-,-,-,-,-,-,-,MCS
4-May,132,E,-,-,-,-,-,-,-,-,MCS
4-May,133,E,-,-,-,-,-,-,-,-,MCS
4-May,134,E,-,-,-,-,-,-,-,-,MCS
4-May,135,E,-,-,-,-,-,-,-,-,MCS
4-May,136,E,-,-,-,-,-,-,-,-,MCS
4-May,137,E,-,-,-,-,-,-,-,-,MCS
4-May,138,E,-,-,-,-,-,-,-,-,MCS
4-May,139,E,-,-,-,-,-,-,-,-,MCS
4-May,142,E,-,-,-,-,-,-,-,-,MCS
4-May,143,E,-,-,-,-,-,-,-,-,MCS
4-May,144,E,-,-,-,-,-,-,-,-,MCS
4-May,147,E,-,-,-,-,-,-,-,-,MCS
4-May,148,E,-,-,-,-,-,-,-,-,MCS
4-May,149,E,-,-,-,-,-,-,-,-,MCS
4-May,150,E,-,-,-,-,-,-,-,-,MCS
4-May,153,E,-,-,-,-,-,-,-,-,MCS
4-May,154,E,-,-,-,-,-,-,-,-,MCS
4-May,155,E,-,-,-,-,-,-,-,-,MCS
4-May,156,E,-,-,-,-,-,-,-,-,MCS
4-May,158,E,-,-,-,-,-,-,-,-,MCS
4-May,159,E,-,-,-,-,-,-,-,-,MCS
4-May,161,E,-,-,-,-,-,-,-,-,MCS
4-May,162,E,-,-,-,-,-,-,-,-,MCS
4-May,163,E,-,-,-,-,-,-,-,-,MCS
4-May,164,E,-,-,-,-,-,-,-,-,MCS
4-May,115,E,-,-,-,-,-,-,-,-,MCS
4-May,118,E,-,-,-,-,-,-,-,-,MCS
4-May,121,E,-,-,-,-,-,-,-,-,MCS
4-May,125,E,-,-,-,-,-,-,-,-,MCS
4-May,145,E,-,-,-,-,-,-,-,-,MCS
4-May,157,E,-,-,-,-,-,-,-,-,MCS
4-May,86,F,-,-,-,-,-,-,-,-,MCS
4-May,90,F,-,-,-,-,-,-,-,-,MCS
4-May,91,F,-,-,-,-,-,-,-,-,MCS
4-May,92,F,-,-,-,-,-,-,-,-,MCS
4-May,94,F,-,-,-,-,-,-,-,-,MCS
4-May,96,F,-,-,-,-,-,-,-,-,MCS
4-May,100,F,-,-,-,-,-,-,-,-,MCS
4-May,101,F,-,-,-,-,-,-,-,-,MCS
4-May,102,F,-,-,-,-,-,-,-,-,MCS
4-May,104,F,-,-,-,-,-,-,-,-,MCS
4-May,105,F,-,-,-,-,-,-,-,-,MCS
4-May,106,F,-,-,-,-,-,-,-,-,MCS
4-May,107,F,-,-,-,-,-,-,-,-,MCS
4-May,108,F,-,-,-,-,-,-,-,-,MCS
4-May,109,F,-,-,-,-,-,-,-,-,MCS
4-May,111,F,-,-,-,-,-,-,-,-,MCS
4-May,113,F,-,-,-,-,-,-,-,-,MCS
4-May,114,F,-,-,-,-,-,-,-,-,MCS
4-May,115,F,-,-,-,-,-,-,-,-,MCS
4-May,116,F,-,-,-,-,-,-,-,-,MCS
4-May,117,F,-,-,-,-,-,-,-,-,MCS
4-May,121,F,-,-,-,-,-,-,-,-,MCS
4-May,122,F,-,-,-,-,-,-,-,-,MCS
4-May,123,F,-,-,-,-,-,-,-,-,MCS
4-May,124,F,-,-,-,-,-,-,-,-,MCS
4-May,125,F,-,-,-,-,-,-,-,-,MCS
4-May,128,F,-,-,-,-,-,-,-,-,MCS
4-May,129,F,-,-,-,-,-,-,-,-,MCS
4-May,131,F,-,-,-,-,-,-,-,-,MCS
4-May,132,F,-,-,-,-,-,-,-,-,MCS
4-May,133,F,-,-,-,-,-,-,-,-,MCS
4-May,134,F,-,-,-,-,-,-,-,-,MCS
4-May,141,F,-,-,-,-,-,-,-,-,MCS
4-May,149,F,-,-,-,-,-,-,-,-,MCS
4-May,150,F,-,-,-,-,-,-,-,-,MCS
4-May,151,F,-,-,-,-,-,-,-,-,MCS
4-May,153,F,-,-,-,-,-,-,-,-,MCS
4-May,162,F,-,-,-,-,-,-,-,-,MCS
4-May,163,F,-,-,-,-,-,-,-,-,MCS
4-May,164,F,-,-,-,-,-,-,-,-,MCS
4-May,93,F,-,-,-,-,-,-,-,-,MCS
4-May,95,F,-,-,-,-,-,-,-,-,MCS
4-May,103,F,-,-,-,-,-,-,-,-,MCS
4-May,119,F,-,-,-,-,-,-,-,-,MCS
4-May,139,F,-,-,-,-,-,-,-,-,MCS
4-May,140,F,-,-,-,-,-,-,-,-,MCS
8-May,121,D,0,0,0,0,0,0,0,1,MCS
8-May,6,E,1,0,2,4,5,4,7,6,MCS
11-May,133,B,2,2,4,2,4,1,2,1,HNT
11-May,134,B,7,4,3,1,2,3,1,4,HNT
11-May,135,B,2,5,5,4,8,1,8,8,HNT
11-May,137,B,1,3,1,0,3,1,1,2,HNT
11-May,138,B,0,4,2,0,1,3,3,3,HNT
11-May,139,B,2,4,5,8,4,0,2,1,HNT
11-May,140,B,7,6,3,7,1,9,8,3,HNT
11-May,142,B,0,1,1,1,9,0,2,1,HNT
11-May,143,B,1,9,11,5,23,8,4,8,HNT
11-May,147,B,2,1,1,3,0,0,0,0,HNT
11-May,151,B,1,0,0,0,1,1,1,1,HNT
11-May,162,B,2,1,4,2,4,3,1,4,HNT
11-May,122,C,5,13,3,7,0,0,0,0,HNT
11-May,149,C,10,7,4,12,7,6,8,7,HNT
11-May,159,C,2,1,0,1,3,1,1,0,HNT
11-May,157,C,1,0,2,0,0,0,0,0,HNT
11-May,161,C,2,1,0,1,3,0,2,0,HNT
11-May,164,C,0,2,0,0,3,0,7,0,HNT
11-May,126,D,3,1,1,0,4,2,1,5,HNT
11-May,128,D,0,1,0,6,5,0,2,2,HNT
11-May,1,E,0,2,0,0,4,0,0,0,HNT
11-May,2,E,0,15,7,2,13,0,15,0,HNT
11-May,3,E,0,0,10,15,7,0,18,0,HNT
11-May,4,E,0,10,0,0,8,7,2,0,HNT
14-May,5,E,2,8,6,5,12,4,10,1,HNT
14-May,7,E,1,0,0,3,0,4,2,0,HNT
14-May,10,E,6,15,21,3,40,0,0,8,HNT
14-May,11,E,0,4,0,0,10,0,0,0,HNT
14-May,13,E,4,8,5,6,9,1,3,4,HNT
14-May,28,E,3,1,3,4,5,0,7,0,HNT
14-May,29,E,0,0,2,0,2,2,0,0,HNT
14-May,36,E,0,0,0,0,0,0,2,0,HNT
14-May,55,E,0,0,1,0,1,0,1,0,HNT
14-May,61,E,2,5,6,10,5,0,5,0,HNT
14-May,59,E,3,1,1,1,6,1,2,4,HNT
14-May,89,E,1,3,0,2,4,0,1,3,HNT
14-May,101,E,0,2,2,0,3,3,1,1,HNT
14-May,120,E,0,12,3,0,1,0,0,0,HNT
14-May,140,E,2,20,0,8,8,1,11,11,HNT
14-May,151,E,3,17,9,3,41,4,5,10,HNT
14-May,141,E,3,0,0,2,7,0,6,1,HNT
14-May,146,E,1,2,3,4,18,0,12,0,HNT
14-May,152,E,6,4,2,8,21,0,0,8,HNT
14-May,23,E,-,-,-,-,-,-,-,-,HNT
14-May,26,E,-,-,-,-,-,-,-,-,HNT
14-May,27,E,-,-,-,-,-,-,-,-,HNT
14-May,39,E,-,-,-,-,-,-,-,-,HNT
14-May,40,E,-,-,-,-,-,-,-,-,HNT
14-May,45,E,-,-,-,-,-,-,-,-,HNT
14-May,48,E,-,-,-,-,-,-,-,-,HNT
14-May,49,E,-,-,-,-,-,-,-,-,HNT
14-May,50,E,-,-,-,-,-,-,-,-,HNT
14-May,54,E,-,-,-,-,-,-,-,-,HNT
14-May,57,E,-,-,-,-,-,-,-,-,HNT
14-May,129,E,-,-,-,-,-,-,-,-,HNT
15-May,110,F,5,8,4,7,5,0,10,0,HNT
15-May,112,F,4,15,10,2,8,0,0,0,HNT
15-May,118,F,2,1,1,0,0,0,0,0,HNT
15-May,122,F,1,0,1,0,2,0,2,0,HNT
15-May,126,F,0,1,2,0,1,0,0,0,HNT
15-May,135,F,3,2,1,0,3,1,0,0,HNT
15-May,136,F,0,2,7,1,26,0,6,1,HNT
15-May,137,F,0,2,3,0,6,1,0,0,HNT
15-May,138,F,1,2,1,1,12,0,0,1,HNT
15-May,142,F,0,0,0,1,0,0,0,1,HNT
15-May,144,F,3,2,6,1,8,0,7,1,HNT
15-May,145,F,0,4,1,0,15,0,0,0,HNT
15-May,146,F,1,2,0,0,18,0,4,0,HNT
15-May,147,F,0,0,1,0,2,0,4,0,HNT
15-May,148,F,3,2,7,2,10,0,12,0,HNT
15-May,152,F,2,0,2,0,1,1,2,5,HNT
15-May,154,F,1,0,1,0,2,0,2,1,HNT
15-May,155,F,2,2,5,3,8,0,17,0,HNT
15-May,157,F,0,9,5,3,4,11,0,16,HNT
15-May,159,F,0,1,1,1,3,0,3,1,HNT
15-May,161,F,12,10,12,11,19,0,10,0,HNT
15-May,77,F,-,-,-,-,-,-,-,-,HNT
15-May,79,F,-,-,-,-,-,-,-,-,HNT
15-May,143,F,-,-,-,-,-,-,-,-,HNT
15-May,158,F,-,-,-,-,-,-,-,-,HNT
